iter	Logloss
0	0.6409269329
1	0.5967814523
2	0.5616712528
3	0.530814841
4	0.5071431733
5	0.4876871002
6	0.4686632112
7	0.4551228016
8	0.4418809238
9	0.430823626
10	0.4222647049
11	0.4145491563
12	0.4083163205
13	0.4026208521
14	0.3982181774
15	0.394161592
16	0.3899522316
17	0.3865724824
18	0.3839671401
19	0.3811024767
20	0.3787290582
21	0.3768110803
22	0.3748855125
23	0.3729159472
24	0.3713913617
25	0.3700067111
26	0.3686729846
27	0.3676644508
28	0.3663788918
29	0.3653266936
30	0.3643397155
31	0.363361215
32	0.3626009242
33	0.3617660547
34	0.3609303334
35	0.3603106387
36	0.3597035517
37	0.3591233982
38	0.3584698298
39	0.3579812686
40	0.3574432671
41	0.356987927
42	0.3564033427
43	0.3559442038
44	0.3554853551
45	0.3549628692
46	0.3544404062
47	0.3539696236
48	0.3536734738
49	0.3533642241
50	0.3529768217
51	0.3526597652
52	0.3523655812
53	0.3519328523
54	0.3515795967
55	0.3513905014
56	0.3511437873
57	0.3509722703
58	0.3507060675
59	0.3503554913
60	0.3500772604
61	0.3497459698
62	0.3495460103
63	0.3492898726
64	0.3489197973
65	0.3486185184
66	0.3484297113
67	0.348206578
68	0.3480178747
69	0.3478632592
70	0.3475795491
71	0.3474364869
72	0.347257364
73	0.3470355865
74	0.3467968283
75	0.3465558566
76	0.3463395265
77	0.3461830281
78	0.3459877857
79	0.345726885
80	0.3454697495
81	0.3452935523
82	0.3451468892
83	0.3449118278
84	0.3447263132
85	0.3444879153
86	0.3442803738
87	0.3441235242
88	0.3440099785
89	0.3438283276
90	0.3436435657
91	0.3434884279
92	0.3433870252
93	0.3431473298
94	0.3429634446
95	0.3427951319
96	0.3426507588
97	0.3425210711
98	0.3423383433
99	0.3422135697
100	0.3420169645
101	0.3417584448
102	0.3416210502
103	0.3414412371
104	0.3412951454
105	0.3411162777
106	0.3410066719
107	0.3408349983
108	0.3406947674
109	0.3404489191
110	0.3403224378
111	0.3400956065
112	0.3399082586
113	0.3397658221
114	0.3395747894
115	0.3394192356
116	0.3392697371
117	0.3390924992
118	0.3388879294
119	0.3387089675
120	0.338616418
121	0.3385279382
122	0.3383747619
123	0.3382487537
124	0.3381329132
125	0.3379588251
126	0.3378742888
127	0.3377717649
128	0.337622442
129	0.3374363158
130	0.3373512319
131	0.3372045314
132	0.3370275318
133	0.3368356168
134	0.3367382784
135	0.336543612
136	0.3364330947
137	0.3363297303
138	0.3361887216
139	0.3360985391
140	0.3359775835
141	0.3358445876
142	0.3357011823
143	0.3356043405
144	0.3354777248
145	0.3353476825
146	0.3352481809
147	0.3350955162
148	0.3349780589
149	0.3347952938
150	0.3346849102
151	0.3345538638
152	0.3343599465
153	0.3342491294
154	0.3340995703
155	0.3339641751
156	0.3338500557
157	0.3337022571
158	0.3335484522
159	0.33344167
160	0.3332930324
161	0.333146776
162	0.3330460014
163	0.3329524915
164	0.3328476916
165	0.3327287185
166	0.33254756
167	0.3323485604
168	0.3322382714
169	0.3321049907
170	0.3319235545
171	0.3317916455
172	0.3316962692
173	0.3315269013
174	0.3313922291
175	0.3312799363
176	0.33114099
177	0.3310153584
178	0.3309069516
179	0.3307632984
180	0.330648637
181	0.3305076689
182	0.3304059272
183	0.3302602574
184	0.3300972174
185	0.3299678668
186	0.3298218818
187	0.3296908729
188	0.3295272483
189	0.3293511207
190	0.3292427141
191	0.3291196728
192	0.3289799043
193	0.3287822594
194	0.3286918271
195	0.3285559902
196	0.3283881643
197	0.328256001
198	0.3281552719
199	0.3279813907
200	0.3278502566
201	0.3276579221
202	0.3275847478
203	0.3274737302
204	0.3273029864
205	0.3271462226
206	0.3270483002
207	0.3269466925
208	0.3267982083
209	0.3266668242
210	0.3265306788
211	0.3263908692
212	0.3262733024
213	0.326114465
214	0.3259483418
215	0.3258059903
216	0.3256606931
217	0.3255444037
218	0.325427194
219	0.3252988544
220	0.3251537868
221	0.3250361073
222	0.3249179637
223	0.3247949162
224	0.3246854103
225	0.3245456392
