iter	Passed	Remaining
0	434	434273
1	818	408214
2	1010	335928
3	1103	274884
4	1164	231655
5	1236	204913
6	1297	184088
7	1358	168426
8	1460	160802
9	1587	157181
10	2018	181468
11	2306	189886
12	2506	190294
13	3460	243730
14	3781	248328
15	3938	242224
16	4076	235716
17	4168	227398
18	4228	218306
19	4274	209432
20	4326	201687
21	4383	194859
22	4445	188850
23	4523	183959
24	4575	178463
25	4648	174158
26	4733	170592
27	4802	166702
28	4899	164045
29	4973	160809
30	5046	157731
31	5171	156426
32	5287	154930
33	5380	152871
34	5474	150932
35	5544	148479
36	5605	145887
37	5684	143900
38	5747	141619
39	5816	139600
40	5900	138016
41	5962	135998
42	6021	134014
43	6089	132311
44	6166	130868
45	6225	129118
46	6311	127968
47	6377	126487
48	6512	126403
49	6579	125010
50	6661	123953
51	6747	123003
52	6811	121698
53	6879	120524
54	6939	119233
55	6999	117999
56	7059	116793
57	7130	115809
58	7184	114590
59	7245	113507
60	7311	112546
61	7374	111566
62	7435	110581
63	7498	109660
64	7575	108968
65	7671	108559
66	7774	108260
67	7873	107908
68	7941	107149
69	8008	106403
70	8085	105791
71	8144	104968
72	8201	104144
73	8273	103524
74	8330	102741
75	8399	102117
76	8482	101680
77	8539	100936
78	8602	100287
79	8673	99742
80	8766	99464
81	8843	99002
82	8924	98603
83	8998	98131
84	9096	97919
85	9178	97546
86	9272	97305
87	9330	96697
88	9397	96189
89	9463	95683
90	9523	95127
91	9582	94570
92	9642	94036
93	9709	93580
94	9763	93014
95	9824	92510
96	9893	92104
97	9951	91592
98	10007	91079
99	10082	90746
100	10143	90286
101	10201	89814
102	10268	89424
103	10344	89125
104	10409	88724
105	10491	88488
106	10563	88157
107	10620	87717
108	10694	87416
109	10755	87020
110	10815	86623
111	10884	86298
112	10948	85942
113	11004	85524
114	11083	85295
115	11146	84945
116	11209	84598
117	11326	84662
118	11427	84600
119	11534	84583
120	11644	84592
121	11766	84679
122	11878	84693
123	11991	84716
124	12072	84510
125	12146	84253
126	12207	83917
127	12262	83541
128	12326	83229
129	12378	82840
130	12433	82477
131	12491	82138
132	12544	81774
133	12604	81458
134	12670	81183
135	12730	80879
136	12798	80621
137	12861	80340
138	12932	80109
139	12995	79829
140	13122	79944
141	13218	79872
142	13355	80040
143	13445	79925
144	13541	79849
145	13602	79567
146	13716	79593
147	13815	79531
148	13894	79356
149	13973	79184
150	14060	79053
151	14150	78943
152	14226	78756
153	14318	78657
154	14397	78488
155	14526	78591
156	14610	78448
157	14691	78290
158	14761	78075
159	14829	77852
160	14913	77717
161	14971	77446
162	15039	77225
163	15136	77158
164	15193	76888
165	15251	76622
166	15324	76438
167	15380	76172
168	15446	75953
169	15514	75745
170	15570	75485
171	15634	75262
172	15703	75067
173	15789	74956
174	15879	74858
175	15964	74741
176	16033	74551
177	16105	74376
178	16165	74146
179	16216	73873
180	16282	73674
181	16356	73514
182	16423	73323
183	16482	73097
184	16545	72891
185	16645	72848
186	16715	72671
187	16801	72568
188	16908	72556
